Geneid,EC1,EC1yuan,EC2,EC2yuan,EC3,EC3yuan
ENSG00000279804,0,0,0,0,0,0
ENSG00000250894,0,0,0,0,0,0
ENSG00000270601,0,0,0,0,0,0
ENSG00000231219,0,0,0,0,0,0
ENSG00000207511,0,0,0,0,0,0
ENSG00000182330,0,0,0,0,0,0
ENSG00000237700,0,0,0,0,0,0
ENSG00000204501,1,0,0,0,0,0
ENSG00000228229,0,0,0,0,0,0
ENSG00000204481,0,0,0,0,0,0
ENSG00000204480,0,0,0,0,0,0
ENSG00000204479,1,0,0,0,0,1
ENSG00000204478,0,0,0,0,0,0
ENSG00000162494,0,0,0,0,0,0
ENSG00000259961,0,0,0,0,0,0
ENSG00000215909,0,0,0,0,0,0
ENSG00000162493,0,0,0,0,0,0
ENSG00000222952,0,0,0,0,0,0
ENSG00000237445,0,0,0,0,0,0
ENSG00000253085,0,0,0,0,0,0
ENSG00000116731,1193,941,1044,1046,1167,1042
ENSG00000189337,17,0,18,0,17,4
ENSG00000252151,0,0,0,0,0,0
ENSG00000231606,0,0,0,0,0,0
ENSG00000234593,0,0,0,0,0,0
ENSG00000235829,0,0,0,0,0,0
ENSG00000287756,0,0,0,0,0,0
ENSG00000175147,20,6,20,0,33,1
ENSG00000171729,435,469,421,435,444,426
ENSG00000204464,0,2,1,0,0,0
ENSG00000215720,0,0,0,1,2,1
ENSG00000278480,1,0,0,1,1,0
ENSG00000142621,15,1,8,2,11,1
ENSG00000233485,0,0,0,0,0,0
ENSG00000236045,0,0,0,0,0,0
ENSG00000228140,4,1,2,1,3,3
ENSG00000142634,1832,4029,2094,3714,2076,3370
ENSG00000162438,2,1,4,1,5,1
ENSG00000142615,0,2,0,0,0,0
ENSG00000215704,6,0,10,1,6,2
ENSG00000132906,357,238,327,224,345,223
ENSG00000116138,681,405,513,506,583,513
ENSG00000251866,0,1,0,0,1,0
ENSG00000272510,0,0,0,0,0,0
ENSG00000116771,41,125,57,120,58,96
ENSG00000237301,5,3,7,0,6,1
ENSG00000235084,13,39,40,36,43,28
ENSG00000252417,0,0,0,0,0,0
ENSG00000236500,0,0,0,0,0,0
ENSG00000197312,1108,1201,958,1356,1028,1430
