,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GPR153,716.503956281724,3.54611906487238,0.12445303306497,28.493633120384803,1.4047823914650394e-178,2.349242711872529e-176
SDC3,2267.6363001949103,2.19682277733591,0.0772623758535734,28.4332801452974,7.844807624050147e-178,1.3032702771218094e-175
ID1,2668.29185446358,2.30733582052348,0.0813467115716364,28.3642175073244,5.590032926757098e-177,9.226111860553616e-175
AHSA1,2482.21378969282,-2.05975998567888,0.0727574346336382,-28.309958921044604,2.6060624604533493e-176,4.2732655358031086e-174
CENPF,5365.65867215179,-1.98070928032799,0.0700616095963372,-28.270964537354,7.864700855903337e-176,1.2812866194404596e-173
HSP90AA2P,1047.86763179862,-2.58467983952242,0.0914697316736535,-28.2572146242219,1.1605725419753896e-175,1.8786396044847793e-173
E2F1,1935.88982354828,-2.7720858849225096,0.0981138575277792,-28.2537651130233,1.2795428448552095e-175,2.0580264916104296e-173
CCNF,1170.34012670548,-2.4271430068132203,0.0859671072417846,-28.233391638813895,2.2765069503965593e-175,3.6383768045198695e-173
CCT3,8884.102175264201,-1.5396604932048001,0.0547706957861327,-28.111026728906804,7.182730232763287e-174,1.1407440492939497e-171
PNRC1,2733.4819443988,2.03710627906679,0.0725996377187114,28.0594551581592,3.0627894596107888e-173,4.833847464630728e-171
KCNJ16,634.059660936022,5.03007184620342,0.179565108328707,28.0125236635367,1.1436005050998699e-172,1.7936770158249597e-170
DHRS3,881.086327477751,3.17562196393233,0.113497921798892,27.9795604500958,2.881167435781819e-172,4.491064202985338e-170
PAG1,622.4972325920211,3.63999818784278,0.130140287094779,27.9698029649483,3.7867420203759894e-172,5.866430030584929e-170
GINS1,1130.96291753592,-2.4655422167894705,0.0883665332037611,-27.9013120397546,2.5720380887638694e-171,3.9603113303332383e-169
NCAPG2,3051.88561784188,-1.9068196272652,0.0683792399505727,-27.885943579418697,3.950848189418659e-171,6.046473847224249e-169
UBE2C,3188.31443679561,-2.02811803603011,0.0728442864361214,-27.8418272078018,1.3528019313772197e-170,2.0578888175384089e-168
TSC22D3,668.316201094437,3.4179572456120004,0.122869172685818,27.8178583846404,2.6381702254659893e-170,3.989166139728569e-168
MCM2,1615.3512682281303,-2.5264652435412995,0.0909043941667336,-27.792553558053,5.336655958376899e-170,8.021502158388898e-168
RRM1,1693.4653982267498,-2.0802342644064797,0.0749520883173973,-27.7541868559735,1.5511004103026895e-169,2.317656068696069e-167
XRCC6,7646.34429595361,-1.55753574239218,0.0562276304136269,-27.700540302596604,6.878302546514578e-169,1.0217111523799197e-166
SNRPB,5465.44126056471,-1.9221840190504598,0.0694175142466036,-27.690187986593102,9.165586604507767e-169,1.3535052218539797e-166
EFNB3,562.054607563321,4.2147804722604,0.152252177115042,27.6828913196802,1.1220452223283994e-168,1.6473189508277195e-166
EBF4,591.013175978124,5.49941440749598,0.199357990245631,27.585623233461,1.6553459494563895e-167,2.4162309777845493e-165
FTH1P2,2590.94296476922,2.27050061399626,0.0823864316580469,27.5591571124259,3.437352676724339e-167,4.988507459347298e-165
FANCA,2328.85395229926,-2.30800998378511,0.0837508564995453,-27.5580463323099,3.544344915787399e-167,5.114388446483619e-165
IER5L,1966.7937426673102,3.0165324962709903,0.109704286832558,27.496942766467498,1.9098223813219792e-166,2.7401610666558293e-164
HNRNPR,3674.56500163942,-1.8938379622946497,0.0689940800698373,-27.449282030830304,7.086058331400448e-166,1.0109443219464595e-163
RTN4RL2,690.1616738531329,3.3969689124426004,0.123836754987678,27.4310233079072,1.1702646686727396e-165,1.6601979445687692e-163
TUBA1C,8711.808086749541,-1.65100588584088,0.0602694291743559,-27.3937534909219,3.2551574216786993e-165,4.592136045376009e-163
NOP56,4390.57222295357,-1.62114137698203,0.0592040742511663,-27.382260384725104,4.461265358203379e-165,6.258659601408437e-163
RANGAP1,8317.67443535516,-1.86021212766551,0.0681944853433459,-27.278043353501502,7.728522917909377e-164,1.0782356946024694e-161
LMNB1,2064.56317106062,-2.18391468480334,0.0801207053931428,-27.2578065069089,1.3429781477086297e-163,1.8633452849416595e-161
ENSG00000256663,837.075596513294,-3.3447750153551,0.122853367307864,-27.225749596047002,3.2199006410301885e-163,4.443110982912259e-161
DDIT4,6489.12649845865,2.4947664040493303,0.0916898168193531,27.2087620042312,5.115773491280759e-163,7.020843054446838e-161
ATP2B4,1796.7578913406198,2.06786353200393,0.076021563296539,27.201013006504002,6.318130095882149e-163,8.624076820606277e-161
SEMA6B,1077.9009258495698,2.83711697304644,0.10433837399717301,27.191500733213502,8.186368115133377e-163,1.1114095034588596e-160
SMC4,2955.9888309854,-2.20767699156088,0.0812256991915101,-27.1795381700036,1.1337521279102097e-162,1.5309897718710396e-160
TCP1,7510.948500364,-1.6375395577406897,0.0604538382376162,-27.0874373816311,1.3845128219377493e-161,1.8596658393389493e-159
PKMYT1,1119.45683271076,-2.66517723087409,0.0985289093660653,-27.0496978807726,3.850846502411038e-161,5.145056924808659e-159
CSE1L,6007.40633480786,-1.9209951939206102,0.0710631849788203,-27.032213578565898,6.182545415766698e-161,8.216928254681087e-159
DKC1,2524.1467293703895,-1.83780577105974,0.0680246531998609,-27.016760609718197,9.392475422339726e-161,1.2417737663084996e-158
AJUBA,1585.73413308335,-2.04845096451307,0.0758267535108316,-27.0148841888695,9.881567978554627e-161,1.2996320551794896e-158
CDKN3,856.958500938084,-2.5572989557829198,0.0948552253715332,-26.960021925691198,4.3523076435932396e-160,5.694532259897218e-158
HSPA8,29520.773562951297,-1.47274933930504,0.0547094038482179,-26.9194916360438,1.2988738383303493e-159,1.6906784621400994e-157
GAPDH,103192.699149324,1.45407689936185,0.0541173510923763,26.868959215682896,5.065240847776628e-159,6.559357019900278e-157
HTRA1,662.130934810197,6.37920110201471,0.237708457797825,26.8362394889639,1.2209648965078596e-158,1.5730513044192092e-156
NOTCH3,512.810332684634,3.88374798098317,0.144915233260699,26.8001361457729,3.2194488872353683e-158,4.126777832511039e-156
DLGAP5,1441.96396351683,-2.59487318259287,0.0969313538294297,-26.7702150034867,7.183359908283178e-158,9.161323454745798e-156
SFPQ,7860.90597286933,-1.6287045875130302,0.0608721713789766,-26.756144073998605,1.0473773165364297e-157,1.3290639194561797e-155
CA11,674.835930520821,3.1285932652354997,0.11705058897169301,26.728556367982897,2.1925781479645093e-157,2.7683491696199887e-155
ODC1,2829.04280426177,-1.8722405367808201,0.0700734623418105,-26.718253590043002,2.888645932583549e-157,3.6290590591840694e-155
CD24,592.518192359106,5.93819788421005,0.222394998855763,26.7011304874771,4.566650255226428e-157,5.708764962622659e-155
MCM10,574.592117082499,-3.4178835855633904,0.12806090575446902,-26.689515941082696,6.229324411831968e-157,7.748911332393139e-155
NOL6,2037.2777703250897,-2.33234010410898,0.087420928828818,-26.6794248854987,8.157350864471858e-157,1.0097520785766797e-154
PPIF,1872.78037721478,-1.9938765988653302,0.07488905171188001,-26.624407083379303,3.542110558357589e-156,4.3631890643729684e-154
EIF5AL1,3626.1465899598297,-1.85643012262733,0.0697629080009306,-26.6105610534837,5.123244654557618e-156,6.280202622179078e-154
NCAPG,1464.1945334472698,-2.62408527062637,0.09864734752781,-26.6006672899807,6.668456598150087e-156,8.134872754419608e-154
NEAT1,8534.13089177908,2.290838074628,0.0861384304219482,26.5948434793431,7.787400236866497e-156,9.454203402949656e-154
SRRT,2925.28219621924,-2.14979330064822,0.080930449040873,-26.563466854885302,1.7951046648992797e-155,2.1688987080400295e-153
ATAD2,3748.8129491908503,-2.0145547008391897,0.076005598622127,-26.505346150286197,8.410205797015887e-155,1.0113072227916397e-152
KIF23,1598.51861838281,-2.33165927800275,0.08808621218263302,-26.4701957347015,2.1366523780323397e-154,2.557096959719089e-152
